FID	IID	SSN
NA5908	NA59081	Plate37.21
A1425	A10645	Plate37.32
A895	A16232	Plate37.49
A1158	A76925	Plate37.69
A1093	A13065	Plate38.53
A998	A18030	Plate37.30
NA2150	NA21501	Plate37.62
NA3203	NA32031	Plate38.78
A1115	A51452	Plate37.64
A1013	A13801	Plate37.11
NA31	NA312	Plate38.25
A1235	A37684	Plate38.49
A1074	A78133	Plate38.86
A1404	A11797	Plate37.31
NA8037	NA80372	Plate38.61
NA5214	NA52142	Plate38.81
A1244	A10410	Plate37.89
A1245	A68324	Plate38.65
A1093	A14091	Plate38.54
NA9419	NA94192	Plate38.51
A1029	A89778	Plate38.40
A1400	A68584	Plate37.26
NA741	NA7412	Plate38.56
A1058	A65510	Plate37.6
A1164	A18147	Plate37.22
A1188	A24436	Plate38.28
A1222	A10057	Plate38.46
NA5362	NA53622	Plate37.34
NA3021	NA30211	Plate37.70
A1381	A17840	Plate37.80
A987	A39384	Plate38.62
A999	A10977	Plate37.72
A1001	A32317	Plate37.33
A1394	A41325	Plate38.18
A1413	A13533	Plate38.13
A1256	A31824	Plate38.37
A1276	A12035	Plate38.23
A1259	A12353	Plate38.80
NA5214	NA52141	Plate38.52
A1034	A29055	Plate37.24
A1221	A54988	Plate37.84
NA3286	NA32862	Plate38.77
A988	A83347	Plate37.9
A1275	A54561	Plate37.38
A1196	A39465	Plate38.69
A1030	A84704	Plate38.67
A1344	A75898	Plate37.19
A1079	A27322	Plate38.41
NA5933	NA59331	Plate38.76
A1268	A96585	Plate37.88
A1111	A17572	Plate37.18
NA1171	NA11711	Plate37.14
A1020	A20780	Plate38.57
A1231	A65603	Plate37.82
NA8037	NA80371	Plate38.60
A1276	A28885	Plate38.24
A910	A17030	Plate37.59
A1156	A99506	Plate37.43
A1119	A40328	Plate38.74
A993	A14643	Plate37.10
NA3203	NA32032	Plate38.79
A1060	A99516	Plate38.26
NA8836	NA88361	Plate38.43
A1375	A19474	Plate38.87
A1032	A90070	Plate37.15
A1181	A19393	Plate38.9
NA741	NA7411	Plate38.55
A1181	A13823	Plate38.10
A1410	A54219	Plate37.48
A1226	A24032	Plate37.71
A1157	A46196	Plate38.1
A1196	A84813	Plate38.70
NA5350	NA53502	Plate37.28
NA5558	NA55582	Plate37.50
A1011	A19175	Plate37.3
A1074	A19471	Plate38.85
A1406	A30682	Plate37.74
A986	A10337	Plate37.87
A1427	A81274	Plate37.29
A1269	A58015	Plate37.23
A1235	A20228	Plate38.48
A1162	A37686	Plate37.54
NA8836	NA88362	Plate38.45
NA5200	NA52001	Plate38.89
A1251	A65258	Plate37.65
NA6056	NA60561	Plate37.66
A1352	A88487	Plate38.19
A1229	A32723	Plate38.35
NA9419	NA94191	Plate38.50
A1124	A97535	Plate38.84
A1240	A16031	Plate38.15
A1161	A19014	Plate37.77
A1072	A41824	Plate37.44
A1119	A22184	Plate38.73
NA5808	NA58082	Plate38.31
NA3020	NA30201	Plate37.75
A1179	A99016	Plate38.12
A1148	A46301	Plate37.79
A1132	A54296	Plate37.20
NA5911	NA59112	Plate38.36
A1374	A41131	Plate38.33
A1031	A95138	Plate37.60
A1193	A78591	Plate37.17
A1029	A54497	Plate38.39
A1395	A37225	Plate37.39
A1083	A53634	Plate37.81
NA5909	NA59092	Plate37.7
A1215	A11668	Plate37.52
A1256	A55309	Plate38.38
A1352	A49885	Plate38.20
A1371	A12586	Plate37.42
NA6679	NA66792	Plate38.3
A333	A12397	Plate42.46
NA5927	NA59271	Plate39.60
A1035	A19387	Plate39.3
A1425	A69650	Plate39.31
NA5260	NA52601	Plate42.16
A1343	A89545	Plate42.80
A1353	A45749	Plate39.65
NA3233	NA32332	Plate42.51
A1281	A28951	Plate39.12
A1295	A76962	Plate42.38
NA1444	NA14441	Plate42.6
A1327	A33584	Plate39.74
NA2694	NA26942	Plate39.2
A1278	A96511	Plate39.70
A1022	A83463	Plate39.18
NA5216	NA52162	Plate42.8
A900	A82366	Plate39.48
NA5387	NA53872	Plate39.15
A1100	A38090	Plate39.22
A1430	A18053	Plate42.1
A1315	A32810	Plate39.81
A1054	A96897	Plate42.27
A1048	A41640	Plate39.40
A1118	A76525	Plate39.6
A1054	A13521	Plate42.26
A1403	A61167	Plate39.59
A1135	A75218	Plate42.61
A1173	A99293	Plate39.69
A1225	A62838	Plate39.46
A1353	A96547	Plate39.62
A1177	A46203	Plate42.76
A950	A97394	Plate39.21
A1037	A50609	Plate42.82
A1104	A53379	Plate42.21
NA5216	NA52161	Plate42.7
A1203	A16929	Plate42.75
A979	A55872	Plate39.55
NA9182	NA91822	Plate39.35
A1048	A52204	Plate39.41
A979	A11810	Plate39.79
A1225	A98925	Plate39.45
A1280	A16335	Plate39.32
A1340	A14251	Plate42.15
A1340	A13907	Plate42.14
A922	A12264	Plate42.28
A1151	A32827	Plate39.84
A1392	A80447	Plate42.3
A956	A57281	Plate42.71
A1281	A76073	Plate39.13
A1315	A61972	Plate39.82
A1023	A88977	Plate39.72
A1022	A66260	Plate39.19
NA9182	NA91821	Plate39.34
A950	A56270	Plate39.20
A1118	A74243	Plate39.7
A1203	A47684	Plate42.74
A1227	A17753	Plate42.37
A1403	A17023	Plate39.58
A1173	A81257	Plate39.68
NA3236	NA32361	Plate42.81
A911	A11825	Plate42.68
NA5221	NA52211	Plate42.44
A1422	A85146	Plate42.18
A961	A54461	Plate42.30
A1288	A20550	Plate39.56
A918	A10835	Plate42.42
NA6081	NA60811	Plate39.16
A1185	A13638	Plate39.29
A1178	A42666	Plate39.50
A1100	A16484	Plate39.23
A1112	A13611	Plate42.57
A1010	A25506	Plate42.79
NA2274	NA22742	Plate42.40
A1392	A34231	Plate42.2
A1337	A69958	Plate42.4
A1023	A49067	Plate39.71
A702	A82394	Plate39.63
A990	A60427	Plate39.42
A1339	A25589	Plate39.76
A1318	A95411	Plate42.63
NA9039	NA90392	Plate39.73
A1035	A89238	Plate39.4
A1248	A36834	Plate42.50
NA5547	NA55472	Plate39.37
A1389	A97124	Plate39.67
A1107	A96258	Plate39.80
A1288	A59581	Plate39.57
NA5750	A20231	Plate42.20
A1199	A56199	Plate42.24
A1151	A72914	Plate39.83
NA9201	NA92012	Plate39.86
A1279	A27970	Plate42.48
A1280	A75419	Plate39.33
A1185	A17294	Plate39.30
NA5750	NA57501	Plate42.19
A1207	A19886	Plate42.23
A990	A11343	Plate39.43
A1199	A89342	Plate42.25
NA5846	NA58461	Plate39.8
NA5547	NA55471	Plate39.36
A333	A53756	Plate42.47
NA5927	NA59272	Plate39.61
A1177	A98632	Plate42.77
A1216	A40463	Plate42.35
A913	A71957	Plate39.77
A1263	A45332	Plate39.52
NA7172	NA71721	Plate39.88
NA7172	NA71722	Plate39.89
NA5221	NA52212	Plate42.45
A1194	A77677	Plate42.12
A1327	A28090	Plate39.75
NA5947	NA59471	Plate39.39
NA3277	NA32771	Plate42.58
NA5846	NA58462	Plate39.9
NA5277	NA52772	Plate42.10
A961	A64257	Plate42.31
A1239	A51868	Plate39.66
A1262	A22671	Plate39.53
A1101	A84713	Plate42.59
A900	A95708	Plate39.47
A922	A18804	Plate42.29
A1216	A48152	Plate42.36
NA2694	NA26941	Plate39.1
A1194	A29541	Plate42.11
NA5277	NA52771	Plate42.9
A918	A16861	Plate42.43
A1263	A80505	Plate39.51
A1027	A29459	Plate39.10
A1071	A25679	Plate39.17
NA9201	NA92011	Plate39.85
A1135	A15153	Plate42.62
NA5289	NA52891	Plate42.34
NA2274	NA22741	Plate42.39
NA6731	NA67311	Plate42.13
A1116	A10068	Plate42.32
A1052	A71529	Plate42.66
NA5521	NA55211	Plate39.44
NA5260	NA52602	Plate42.17
A1290	A15012	Plate42.56
A1257	A11329	Plate43.3
A1040	A91212	Plate41.42
A921	A46969	Plate41.14
A1169	A33486	Plate43.43
NA3436	NA34362	Plate43.5
A1062	A75638	Plate41.49
A906	A64489	Plate43.70
NA3451	NA34511	Plate41.67
A1257	A69694	Plate43.2
A1183	A19707	Plate43.16
A992	A19718	Plate43.56
A1236	A79417	Plate41.4
A1128	A13346	Plate43.32
A930	A14059	Plate41.23
A1411	A30290	Plate41.52
A1283	A54428	Plate43.61
A1296	A78397	Plate43.9
A1046	A42982	Plate43.48
A1149	A21593	Plate41.48
A960	A89983	Plate43.27
A1405	A52033	Plate41.7
A1043	A43421	Plate43.64
A1418	A15061	Plate43.54
A932	A33442	Plate43.34
NA9130	NA91301	Plate41.88
NA9929	NA99292	Plate43.50
A1096	A12446	Plate43.26
A1319	A92350	Plate41.6
A1334	A23698	Plate41.39
A1236	A27616	Plate41.3
A1272	A57912	Plate43.37
A902	A18078	Plate41.2
A1057	A15650	Plate41.9
NA5490	NA54901	Plate41.19
A1382	A14784	Plate41.38
A1430	A14712	Plate41.90
A1254	A71290	Plate41.37
A951	A67895	Plate41.22
A1028	A10014	Plate41.66
A1266	A85575	Plate43.20
A1294	A89169	Plate41.80
A1105	A56633	Plate43.10
A1120	A41100	Plate41.45
A1266	A98712	Plate43.21
A1272	A91616	Plate43.36
A1128	A46671	Plate43.33
A1204	A63145	Plate41.61
A1283	A41257	Plate43.62
A932	A49766	Plate43.45
A1149	A91559	Plate41.47
NA3343	NA33431	Plate41.81
A1335	A82500	Plate41.86
A1183	A54113	Plate43.17
A902	A56312	Plate41.1
A1197	A16985	Plate43.44
A1073	A45243	Plate41.73
A1086	A41359	Plate41.58
A1405	A48057	Plate41.8
A954	A85916	Plate41.79
A1176	A12867	Plate41.34
A1062	A39107	Plate41.50
A1087	A18093	Plate41.84
A1086	A12052	Plate41.57
A1140	A55091	Plate41.31
A1087	A59151	Plate41.83
NA3436	NA34361	Plate43.6
A1186	A95638	Plate41.13
NA8230	NA82302	Plate43.42
A1028	A68740	Plate41.65
A1335	A42438	Plate41.87
A1386	A29594	Plate41.11
A1007	A13527	Plate43.24
A1016	A45124	Plate41.62
NA5207	NA52072	Plate41.26
A1234	A18676	Plate43.18
A1246	A19146	Plate41.70
A946	A25348	Plate43.49
A1319	A18897	Plate41.5
NA9142	A69630	Plate43.13
A1209	A61227	Plate41.17
A1063	A17376	Plate41.54
NA9130	NA91302	Plate41.89
A962	A26280	Plate41.29
NA5207	NA52071	Plate41.25
A1373	A13664	Plate41.15
A1176	A84413	Plate41.35
A1109	A95920	Plate41.71
A954	A52916	Plate41.78
A1120	A12269	Plate41.44
NA5490	NA54902	Plate41.20
A1166	A13737	Plate43.1
A1076	A15969	Plate41.32
NA8230	NA82301	Plate43.41
A1284	A71356	Plate41.56
A1008	A64564	Plate43.40
A1209	A14218	Plate41.18
A941	A17558	Plate41.59
A1076	A38898	Plate41.33
NA3233	NA32331	Plate43.4
A1254	A62133	Plate41.36
A1057	A18249	Plate41.10
A1025	A92384	Plate45.44
A1220	A53149	Plate44.30
A929	A49322	Plate44.37
NA5114	NA51141	Plate44.31
A971	A48896	Plate45.82
A923	A71569	Plate44.58
A1004	A29889	Plate44.2
A1090	A81434	Plate45.75
A1384	A75313	Plate45.6
A1349	A36577	Plate44.35
A914	A32567	Plate44.19
A1302	A28957	Plate45.34
A1402	A98758	Plate45.76
A949	A90514	Plate44.60
A1359	A26578	Plate44.20
A1300	A19329	Plate44.50
A966	A86325	Plate44.23
NA5220	NA52201	Plate45.59
NA5907	NA59072	Plate45.41
A1349	A98787	Plate44.36
A1396	A90192	Plate45.81
A1414	A78346	Plate44.51
A1428	A20242	Plate45.80
A914	A29554	Plate44.18
A1146	A22215	Plate45.26
A1130	A14015	Plate44.52
A1210	A94525	Plate45.48
A928	A12818	Plate45.7
NA6043	NA60432	Plate45.31
A1184	A13863	Plate45.55
A939	A36197	Plate45.43
A939	A56418	Plate45.42
A1055	A46237	Plate45.2
NA5096	NA50961	Plate45.57
A1320	A29595	Plate44.39
A995	A15772	Plate44.46
A940	A17002	Plate45.72
A1247	A90092	Plate44.3
A994	A16558	Plate45.60
A923	A14801	Plate44.59
A982	A21148	Plate44.48
A1237	A14824	Plate45.1
A1210	A79056	Plate45.49
NA5907	NA59071	Plate45.40
A1182	A42931	Plate45.13
A1102	A85038	Plate44.26
A974	A25391	Plate45.39
A1091	A42576	Plate45.51
A1320	A57540	Plate44.38
A1091	A39842	Plate45.50
A1090	A38913	Plate45.73
A1390	A10521	Plate45.62
NA6473	NA64731	Plate45.16
A1012	A29150	Plate45.21
NA1489	NA14891	Plate45.5
A905	A96271	Plate45.85
A1002	A24599	Plate44.22
A1005	A84785	Plate45.67
A905	A27209	Plate45.79
A1005	A38807	Plate45.66
A1167	A72615	Plate44.33
A1187	A15334	Plate44.25
A1364	A87957	Plate45.29
A1050	A94705	Plate45.22
A983	A85405	Plate45.64
A975	A82653	Plate45.3
A1431	A78523	Plate45.84
A945	A52054	Plate45.68
A906	A92559	Plate45.8
A959	A10143	Plate44.54
A1357	A36885	Plate44.41
A1002	A43619	Plate44.21
NA3088	NA30881	Plate44.1
A1383	A60366	Plate45.87
A1238	A87872	Plate44.43
A1198	A34711	Plate45.74
A1306	A92216	Plate45.33
A1358	A12578	Plate45.19
A1085	A57983	Plate45.14
A1155	A99489	Plate45.47
A1014	A20603	Plate45.25
NA5405	NA54051	Plate44.16
A966	A88967	Plate45.9
A1357	A22478	Plate44.40
A1085	A19610	Plate45.15
A1383	A45619	Plate45.86
A982	A47334	Plate44.47
A1050	A91844	Plate45.23
A1187	A52413	Plate44.24
A995	A40496	Plate44.45
A1200	A78410	Plate44.42
A997	A55441	Plate44.55
A1070	A15074	Plate45.10
A1366	A58554	Plate45.89
A1296	A36559	Plate45.37
A1302	A66998	Plate45.35
A1014	A12695	Plate45.24
A1396	A41796	Plate45.70
NA3088	NA30882	Plate44.57
A937	A54434	Plate45.52
A1364	A36487	Plate45.28
NA6473	NA64732	Plate45.17
A1155	A51359	Plate45.46
A1361	A78474	Plate45.36
NA5096	NA50962	Plate45.58
A1012	A28236	Plate45.18
NA5857	NA58571	Plate45.4
A1167	A11790	Plate44.34
A997	A94380	Plate44.56
A1184	A19248	Plate45.78
A1146	A67414	Plate45.27
A901	A80434	Plate45.71
A1247	A76041	Plate44.4
A1361	A96958	Plate45.56
A1238	A14338	Plate44.44
A1306	A31997	Plate45.32
A971	A46679	Plate45.83
A1362	A63256	Plate44.5
NA6043	NA60431	Plate45.30
A1390	A67134	Plate45.63
A955	A80615	Plate44.32
A1264	A98178	Plate44.27
A1362	A99588	Plate44.6
A937	A92211	Plate45.53
A943	A77575	Plate45.11
A1419	A98895	Plate45.54
A945	A15777	Plate45.69
A1366	A25578	Plate45.88
A1025	A50927	Plate45.45
A1182	A60456	Plate45.12
NA5405	NA54052	Plate44.17
A1267	A69964	Plate47.27
A1261	A20873	Plate47.34
A903	A60233	Plate46.38
A823	A49876	Plate46.63
A1365	A43176	Plate46.10
NA1060	NA10602	Plate47.1
A1401	A15759	Plate47.13
A1026	A11421	Plate46.64
A1399	A52885	Plate46.29
A1006	A15973	Plate46.43
NA6451	A20535	Plate47.4
A1125	A91531	Plate46.56
A1399	A69898	Plate46.27
A1368	A44876	Plate47.30
A1365	A34271	Plate46.11
A1036	A93889	Plate46.87
A1217	A46848	Plate46.49
A1160	A12248	Plate47.22
NA3327	NA33272	Plate46.46
A1078	A12321	Plate46.6
A1416	A60757	Plate46.52
A1363	A13671	Plate46.15
A896	A13421	Plate46.88
A1097	A56915	Plate47.38
A912	A77411	Plate46.23
NA9451	NA94511	Plate47.61
A1253	A17782	Plate47.73
A915	A33587	Plate47.55
A1024	A12859	Plate47.12
A1081	A95593	Plate47.42
A1150	A81430	Plate47.26
NA1060	NA10601	Plate47.2
A1214	A74138	Plate46.20
A1244	A31020	Plate47.62
A1067	A56189	Plate46.60
A1114	A20525	Plate47.40
A912	A15366	Plate46.24
A958	A66091	Plate47.66
A1356	A87878	Plate46.73
A1367	A75588	Plate47.53
A1217	A13852	Plate46.47
A1195	A56728	Plate47.51
A1106	A20079	Plate47.7
NA973	NA9731	Plate47.9
NA3327	NA33271	Plate46.34
A823	A84164	Plate46.62
A1223	A29848	Plate46.7
A965	A51559	Plate46.81
A1415	A96902	Plate47.33
A1397	A71237	Plate46.32
A925	A13698	Plate46.68
A1356	A55588	Plate46.72
A1082	A34263	Plate46.2
NA582	NA5822	Plate46.75
A1044	A42552	Plate47.18
A903	A74931	Plate46.37
A1114	A34606	Plate47.41
A1033	A42366	Plate47.47
A1367	A23267	Plate47.52
A64	A96455	Plate46.39
A952	A19908	Plate46.66
A920	A13866	Plate46.41
A1243	A53936	Plate46.4
A1355	A96658	Plate47.68
NA9210	NA92102	Plate47.19
A1061	A79355	Plate47.48
A1369	A33678	Plate47.20
A1370	A78487	Plate47.29
NA3022	NA30222	Plate47.45
A915	A68307	Plate47.54
A957	A63217	Plate46.85
A1153	A85791	Plate46.84
NA2688	NA26882	Plate46.61
A1036	A80823	Plate46.90
A1004	A71325	Plate47.77
A1089	A19519	Plate47.69
A947	A33536	Plate46.33
A1333	A15240	Plate46.78
A1397	A75697	Plate46.30
A1142	A35056	Plate46.14
A984	A30461	Plate46.21
A897	A51243	Plate47.36
NA5093	NA50932	Plate46.54
A1045	A70376	Plate46.35
A1370	A12296	Plate47.23
A1026	A68218	Plate46.65
A1379	A24721	Plate46.13
A1078	A66452	Plate46.9
NA5422	NA54222	Plate46.79
A1369	A59988	Plate47.21
NA711	NA7111	Plate46.25
A1067	A11293	Plate47.17
NA5422	NA54221	Plate46.80
A747	A68710	Plate46.58
NA3022	NA30221	Plate47.44
A1417	A43485	Plate47.31
A747	A40204	Plate46.59
NA251	NA2511	Plate46.76
A1126	A58049	Plate46.51
A1416	A89599	Plate46.53
A1253	A91091	Plate47.74
A938	A72375	Plate46.17
A1289	A51541	Plate46.44
A1223	A91590	Plate46.8
A1150	A67545	Plate47.25
A1106	A67290	Plate47.8
NA582	NA5821	Plate46.74
NA251	NA2512	Plate46.77
A1039	A26518	Plate46.83
A1021	A53347	Plate47.16
A1125	A55323	Plate46.57
A924	A43627	Plate46.55
A1082	A18025	Plate46.1
A947	A13221	Plate46.31
A925	A31971	Plate46.69
A1045	A65396	Plate46.36
A908	A21624	Plate47.75
A1348	A25875	Plate47.65
A920	A51181	Plate46.40
A986	A85412	Plate47.37
A897	A20739	Plate47.35
A1376	A13629	Plate47.71
A1021	A17715	Plate47.15
NA2089	NA20892	Plate47.10
NA2089	NA20891	Plate47.11
NA6451	NA64511	Plate47.5
A1024	A99452	Plate47.14
A1197	A48678	Plate47.76
A1224	A12072	Plate46.89
A1318	A16345	Plate47.78
A1355	A25787	Plate47.67
A1077	A54386	Plate47.24
A1006	A20251	Plate46.42
A1195	A41188	Plate47.50
A83	A28196	Plate46.70
NA5710	NA57101	Plate47.63
A904	A76892	Plate47.70
A1015	A27605	Plate47.58
